avg_plddt,uniprot_id
95.38788273615636,P00808
90.9370607028754,P11309
88.63118380062305,P06709
91.94138888888888,P07739
93.17033742331289,Q8TZE8
91.58897832817335,P69797
94.09055072463768,Q5SIY4
82.43542424242425,P01857
86.86754335260115,P0A910
84.49831395348836,P08921
93.03873925501432,P21695
95.34131736526946,P61964
89.10074074074076,P56552
95.10296296296292,P24297
95.26685185185188,P00268
90.6710606060606,O54310
94.97893939393938,P19614
91.07089552238806,P32081
81.43809523809526,P03051
90.90727272727273,P41016
81.27936708860761,P02633
95.1345588235294,P19873
93.2423943661972,P04168
91.91014492753624,P19267
75.1793670886076,P61024
88.58099999999999,P0A9X9
90.17614285714286,P01051
89.5780459770115,Q03708
80.84964285714285,P01053
93.73829545454548,P42013
93.2715294117647,P0AA04
93.73116279069768,P13479
94.23310344827586,P07107
92.73988888888891,P0A3H0
93.2978409090909,P08877
86.88917525773196,P60848
85.0208695652174,P04271
81.43608247422681,P0A6F9
86.49255102040814,Q5NV88
86.88917525773196,P60849
90.04489795918367,P04080
93.65711111111108,P11540
79.07906249999999,Q9RA57
90.535,P05798
78.47704081632654,P0A6R3
93.12070707070708,P07311
94.36272727272728,P11053
94.27555555555554,P0A3C7
93.22424242424242,P00818
70.03620553359684,P04156
71.07027559055118,P04925
70.85523622047243,P04273
92.73103846153846,P00918
71.24734082397003,P02647
95.80411985018723,P03962
92.69782442748092,P02945
91.66182835820896,P0A877
63.1165283018868,O60828
94.09229885057468,O34627
91.9214552238806,P00929
71.01899628252788,P01584
91.66182835820896,P0A878
63.09185053380782,P03069
68.69440740740741,P80386
91.26158273381294,P33665
95.13227758007116,P00807
98.23153284671534,P84131
98.23614864864864,P02925
89.88910034602077,Q03689
85.20744680851064,P09012
95.9256993006993,P62593
87.09047457627119,P13726
96.2859595959596,O73951
88.15572222222221,P03023
93.78122159090908,P03958
87.6948219178082,P0A434
93.23501326259948,P00811
87.55859154929578,P07740
92.96113821138212,P21873
86.44603674540683,P00563
93.84860892388453,P0CG63
93.82787958115183,P00782
83.21554973821989,P29768
92.02346534653466,P29160
70.6069,P00974
84.21692307692307,P00099
93.6470642201835,P00044
93.77894230769228,P22069
93.11009615384614,P00025
91.36228571428572,P00004
92.90158415841586,Q97ZL0
84.87079207920792,P23370
94.33027777777778,P62942
91.68887850467289,P01837
75.92082568807338,P02631
92.9953211009174,P0AA25
94.20181818181818,P02625
89.28053097345132,P00045
57.48709090909091,P01308
80.89267857142856,O66523
80.69846153846153,P01593
85.58016,Q9GZQ8
86.07765624999999,P0ABE7
90.4760465116279,P0A2D5
66.07274336283186,P08463
95.29666666666668,P81708
90.62062015503876,P0AE67
80.6078125,O60880
93.79541353383458,P05413
76.40053435114504,Q03026
87.67146153846154,P00651
93.1653787878788,P02689
80.10440298507464,P00171
90.40969465648855,P07445
79.29059701492537,P00173
91.89636363636365,P02693
93.53664122137404,P04164
74.19971631205674,P30289
89.06080291970802,P00094
90.21478571428572,P07737
83.66338028169015,P00711
89.14781690140845,P83876
88.87438848920864,P0A780
82.81140845070423,P00712
92.84246376811592,Q9NAV8
91.88594594594592,P61626
91.79277027027024,P26492
63.58787671232876,P04166
78.67650684931507,P00592
90.96163265306124,P00698
85.2190410958904,P00149
74.92972222222222,P01006
77.86089655172412,P00593
91.2172972972973,P00282
80.61644295302013,P02417
90.81743961352656,P9WGE7
87.61024875621892,P02753
85.99468599033817,P09919
93.2955223880597,P0A9D2
94.73259615384616,P0AEG4
80.14160194174758,E0WVU4
94.73956937799043,Q7KIF2
90.03439252336449,P69441
83.99682464454978,Q08012
93.67061032863852,P09850
88.69066666666667,P0ACJ8
91.2783962264151,P37957
94.08079812206574,P18429
81.98357142857142,Q16595
89.5447906976744,P63159
88.09044052863436,P01236
85.96792792792793,P04179
91.85407407407408,P43332
91.31947368421052,O74035
94.03055045871558,P0ACT4
96.045,P07170
81.2633486238532,P40040
76.55898617511521,P01241
97.9888306451613,P00942
93.1552401746725,P0CG47
96.41669354838707,P00940
88.45796536796537,P00644
87.23027777777777,P68005
91.61954838709678,P0A7Y4
91.61954838709678,P0A7Y7
84.30116129032258,P05230
91.61954838709678,P0A7Y6
93.54331168831168,P02185
86.55153333333332,P61823
80.26687116564418,Q13526
81.65788461538462,P42771
89.60892857142856,P42773
76.03694267515922,P00648
94.35232704402516,P0ABQ4
89.95203821656051,P23657
93.6280681818182,P81662
94.30422857142858,P07845
87.8895789473684,P62166
92.98448275862069,P07320
80.47747191011236,P02754
86.12225806451612,P37001
81.72548387096774,P00257
93.68611764705882,P0A3E0
94.23809045226132,Q9EYL5
